GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.CapacityDistributionEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.Cards,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.ReclamationStatEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.PunctualityEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.TopDriverEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.UserBreakdownEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.IncidentEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse,0,8,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.CongeStatEntry,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.dto.admin,KpiOverviewResponse.FuelOverview,0,3,0,0,0,1,0,1,0,1
logiway-backend,com.logiway.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,ForbiddenException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,AccountRejectedException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,ConflictException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,GlobalExceptionHandler,113,27,2,0,19,7,11,4,10,4
logiway-backend,com.logiway.exceptions,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,BadRequestException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.exceptions,AuthProviderUnavailableException,0,4,0,0,0,2,0,1,0,1
logiway-backend,com.logiway.entities.enums,TypeAlerteIA,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,MessengerMessageStatus,0,15,0,0,0,3,0,1,0,1
logiway-backend,com.logiway.entities.enums,PrioriteReclamation,0,15,0,0,0,3,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutTrajet,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,Role,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutEntreprise,0,27,0,0,0,5,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutPause,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,TypeNotif,0,57,0,0,0,10,0,1,0,1
logiway-backend,com.logiway.entities.enums,MessengerMessageType,0,33,0,0,0,6,0,1,0,1
logiway-backend,com.logiway.entities.enums,TypeConge,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutVehicule,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutReclamation,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutCompte,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.entities.enums,TypePause,0,51,0,0,0,9,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutChauffeur,0,15,0,0,0,3,0,1,0,1
logiway-backend,com.logiway.entities.enums,StatutConge,0,27,0,0,0,5,0,1,0,1
logiway-backend,com.logiway.entities.enums,PrioriteTrajet,0,21,0,0,0,4,0,1,0,1
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse.ChauffeurStats.ChauffeurStatsBuilder,42,147,0,0,0,1,1,22,1,22
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse.HeatmapPoint.HeatmapPointBuilder,20,70,0,0,0,1,1,11,1,11
logiway-backend,com.logiway.dto.pause,PauseReglementaireResponse.PauseReglementaireResponseBuilder,36,126,0,0,0,1,1,19,1,19
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse,99,287,42,28,1,11,43,15,9,14
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse.HeatmapPoint,116,313,47,31,1,12,48,16,10,15
logiway-backend,com.logiway.dto.pause,PauseAIEvaluationRequest,146,25,30,0,2,5,23,5,8,5
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse.MLInsights,155,403,61,41,1,15,62,20,13,18
logiway-backend,com.logiway.dto.pause,PauseAIDashboardResponse.MLInsights.MLInsightsBuilder,26,91,0,0,0,1,1,14,1,14
